A,B,C,D
Erkki Junkkarinen,Ystävän Laulu - 25 Unohtumatonta Laulua,Rakkauden satu - Histoire d'un Amour -,0
Oztara,Ensorsoleil,La Route Est Belle,2005
A Static Lullaby,Faso Latido,God Bless You (Goddamn it),2005
Scar Symmetry,Nuclear Blast Showdown 2006,The Illusionist,2006
Luar Na Lubre,lo mejor de  Luar na Lubre,Terra,2001
Rising Lion,American Dread,Letting You Back In,0
Creedence Clearwater Revived,The Best Of (featuring Johnny Guitar Williamson),Have You Ever Seen The Rain,0
Bobbie Gentry,The Best of Bobbie Gentry: The Capitol Years,Courtyard,1968
Elmore James,Dark And Dreary,Dumb Woman Blues,0
Rodney O & Joe Cooley,Greatest Hits,U Don't Hear Me Tho' (Street Mix),1993
B.A.D.,B.A.D. (Be A Devil),Interlude,0
The Johnny Otis Orchestra,Jukebox Hits 1946-1954,Cry Baby,0
Weezer,The Green Album,Don't Let Go,2001
The Cosmosamatics,Zetrons,12 Seasons of Love,0
Boots Randolph,Boots Randolph's Yakety Sax!,Lonely Street,1963
Baby Huey & The Baby Sitters,The Baby Huey Story: The Living Legend,California Dreamin' (LP Version),1971
Jackson United,Harmony And Dissidence,Undertow,2008
George Harrison,All Things Must Pass,Hear Me Lord (2001 Digital Remaster),0
Eighteen Visions,Eighteen Visions,Our Darkest Days,2006
Eddie Boyd,Live In Switzerland,I'm Sitting Here Waiting,0
The Bucketheads,All In The Mind,Sayin' Dope,1995
Shriekback,Cormorant,Reason With The Beast,2005
Jack Orsen & Taktlo$$,Direkt Aus Dem Knast (Du Spast),Sex Objekt,0
Olov Johansson_ Catriona Mckay,Foogy,Rain / Ekoln,0
Fruko Y Sus Tesos,Soy Como Soy,A La Memoria Del Muerto,2004
Circular,Divergent,Mother,0
Tha Chamba,Don't Sleep,Korrupted - Remix,0
Kinky,The Simple Life: Campfire Songs,My Bonnie Lies Over the Ocean,0
The Police,Zenyatta Mondatta,When The World Is Running Down_ You Make The Best Of What's Still Around,0
The Real Kids,Senseless: Live At Cantone's_ 1982,Now You Know,1996
Hatebreed,Supremacy,As Diehard As They Come (Album Version),2006
J.J. Cale,#8,Trouble In The City,1983
Kings Of Leon,Sex On Fire,Knocked Up,2007
Claire Hamill,Touchpaper,If You'd Only Talk To Me (Bonus Track),0
Los Originales De San Juan,Perro Malagradecido,Librado Maldonado,0
Sister Hazel,Release,Walls And Cannonballs (Album),2010
Black Flag,Everything Went Black,Crass Commercialism,1982
Krystof,Rubikon,Prvni vesela,2006
Brooke Valentine,Chain Letter,Taste Of Dis (Explicit Version),2005
Precious Bryant,The Truth,Dark Angel,2005
Selena,La Leyenda,Ven Conmigo/Perdoname (Live),0
John Frizzell,Ghost Ship,No Unexpected Guests,2002
Satan's Host,Satanic Grimoire,Metal from Hell...22nd Century,0
Aaron Watson,Angels & Outlaws,Rollercoaster Ride,2008
Barbarito Diez,Asi,Flores Negras,0
Owl City,Of June,Panda Bear,2007
The Impressions,The Young Mods' Forgotten Story,The Girl I Find (LP Version),0
Mary Black,Best of 1991-2001 Hidden Harvest,Turning Away,1999
Emilia,You're My World,You're My World,0
Headliners,Das Album zum Film,Negativ Song,2006
Turisas,Battle Metal,Sahti Waari,2004
Emilio,10 Aniversario,Mira Nina,0
The Rascals,See,Nubia (LP Version),0
Jane Winther,Prayer,The Lords Prayer,0
Blind Blake,Blind Blake Vol. 1 (1926 - 1927),Blake's Worried Blues,0
Cómplices,Grandes Exitos: Complicidad,Ojos Gitanos,1991
Kasia Stankiewicz,Mimikra,Zolte Slonie,2006
Nana Caymmi,Sangre De Mi Alma,Solamente Una Vez,0
Bobby Bland,The Original Memphis Blues Brothers,Drifting From Town To Town,2006
Chéco Feliciano And Joe King,Ketukuba,Nina Nina,2006
Canis Dirus,A Somber Wind From A Distant Shore,A Somber Wind from a Distant Shore (Album),0
Antonis Remos,Antonis Remos Live,To Agalma,0
La Portuaria,Rosas Rojas,Marcando El Ritmo Al Caminar,0
Cache Cache,Only Do for Love,Only Do for Love,0
Gaetano Donizetti,Roberto Devereux,Donizetti: Roberto Devereux: L'ore trascorrono...,0
Rummage,thahandclaspinduction,Megatrend,0
Shakira,El Amor En Los Tiempos del Colera (Love In The Time Of Cholera),Pienso En Ti,1995
David Hudson,Primal Elegance One,Arrival,0
Stars Like Fleas,The Ken Burns Effect,You Are My Memoir,2007
Percy Faith And His Orchestra,The Golden Age of Light Music: Orchestral Gems in Stereo,Damisela Encantadora,0
Maysa,Feel The Fire,This Time I'll Be Sweeter,0
Justin,Justin In Love With HK Philharmonic Concert Live,Erica,0
David Summers,Perdido En El Espacio,Las Murallas De Jericó,0
Adr Lavey,Leviathans Creations,In The Name of the Father,0
Bill Boyd's Cowboy Ramblers,Saturday Night Rag 1934-36 Volume 1,I Can't Tame Wild Women,0
Vickie Winans,Share the Laughter,Little Timmy,0
Little Freddie King,Gotta Walk With da King,Bus Station Blues (Live),0
Blink-182,Dude Ranch,A New Hope,1997
John Brown,TheBurbsLife,Party In The Burbs,0
Ms. Dynamite,Judgement Days,Mr. Prime Minister,2005
Selena,Unforgettable,Como La Flor (2005 Re-mastering) (Live),0
Vickie Winans,Live In Detroit (Expanded Edition),Great Is Thy Faithfulness,0
Kali,Requiem EP,Ponto,0
Andy Russell,Andy Russell. Themes Only For Lovers,I Love You And You Love Me,0
Elvin Bishop,Gettin' My Groove Back,Party Til The Cows Come Home,2005
Asleep At The Wheel,House Of Blue Lights,Big Balls And Cow Town,0
1. Futurologischer Congress,Patchwork,La Excursion,0
Abysmal Dawn,Programmed to Consume,Compulsory Resurrection,2008
Siouxsie,Into A Swan,Into A Swan,2007
Claire Hamill,October,To The Stars,0
Marcus Miller,A Night In Monte-Carlo (Live),Your Amazing Grace (feat. Raul Midón),0
Neil Innes,Let's Make Up And Be Friendly,Lie Down And Be Counted (2007 Digital Remaster),0
Chaotica,Turbocharger,Lobotomy,0
Gordon Jenkins,Hit Club_ The Hits 1949,Don't Cry_ Joe,0
Lara & The Gumbo Lickers,Keep cool,The tears I cried,0
Sylvia Patricia,Purpurina 37,Marca de Amor Não Sai,0
Alan Silvestri,G.I. JOE,The Joes Mobilize,2009
Zeromancer,Sinners International,Ammonite,2009
Dusminguet,Postrof,San Cristobal,2001
Regina Belle,Lazy Afternoon,If I Ruled The World,2004
Sunnyland Slim,Chicago Blues Festival 1974 With Jimmy Dawkins,I Got To Quit My Baby,0
Byther Smith,Hold That Train,So Unhappy,2004
Rudolph Valentino,Movie Stars (CD 2),Kashmiri Love Song,1992
Kitaro,Heaven & Earth,Village Attack/ The Arrest,1993
Chico,Curvy Cola Bottle Body,Curvy Cola Bottle Body,0
SKOLD vs. KMFDM,SKOLD vs. KMFDM,Alkohol,0
KALIMBA,Amar y Querer (Homenaje a Las Grandes Canciones),Volcán,2009
Ill Nino,The Best Of Ill Niño,What You Deserve (Album Version),2006
Ayo,Outta Babylon & I Love You,I Love You,0
Alice In Chains,Black Gives Way To Blue,Lesson Learned,2009
Melt Banana,Cactuses Come In Flocks,Talk Like POP,0
Bobby Darin,The Capitol Years,(I Heard That) Lonesome Whistle,1995
De La Ghetto,Massacre Musical,Es dificil,0
Wailing Souls,The Best of the Wailing Souls,Very Well,1979
Donny Hathaway,A Classic Soul Christmas,This Christmas (LP Version),0
9th Wonder featuring Defcon_ Phonte,9th Wonder Presents Dream Merchant Volume 1,Almost Genuine,0
Two Man Advantage,Don't Label Us,The Sweep,0
Architecture In Helsinki,Heart It Races Remixes,Heart it Races (Frank Tetaz Remix),0
The Real Kids,Grown Up Wrong,Can't Shake That Girl,0
Ini Kamoze,Massive Reggae,Here Comes The Hotstepper,1995
Baroness,Blue Record,The Sweetest Curse,2009
Green Day,Wake Me Up When September Ends,Wake Me Up When September Ends (Live at Foxboro_ MA 9/3/05),2005
DMX / Eve / Jadakiss,Grand Champ,We're Back,2003
Jude Taylor & His Burning Flames,Best of Zydeco,The Thrill Is Gone,1994
Mötley Crüe,Dr Feelgood Deluxe Edition,Get It For Free,1999
T-Bone,Don't Look Back,Don't Tell Me,0
The Red Telephone,Aviation,Have You Seen Her,0
Metallica,Some Kind Of Monster,Hit The Lights,1982
M.I.K.E.,Fuego Caliente,Fuego Caliente,0
The Radio Dept.,Freddie And The Trojan Horse,Closing Scene,2007
Willie Rosario,Back To The Future,Un Tipo Como Yo,1999
Bill Douglas,Eternity's Sunrise,Karuna,0
Placebo,Black Market Music,Slave To The Wage,2000
DJ Spinn featuring Traxman,Da Nastier da Better,Lil Mama Getdown,0
Sui Generis,Adios Sui Generis Vol.I,Cancion Para Mi Muerte,0
Keb' Mo',Suitcase,Still There For Me,2006
UKW,Ultrakurzwelle,Allein,0
Becky Baeling,Becstasy,If You Love Me,2003
Shy FX & T Power,Innovation The Album Mixed By Shy FX,Feelings,2005
Commander Cody And His Lost Planet Airmen,Live From Deep In The Heart Of Texas,Crying Time,1974
DJ Slugo,DJ Slugo Juke Chronicles Vol. 10,Whip It,0
Laurie Berkner,Buzz Buzz,The Cookie Bakers of the Night,2001
Simon & Garfunkel,Old Friends Live On Stage,Citizen Of The Planet,2004
Joi,Without Zero,The Blessing,0
Beenie Man Featuring Wyclef And Redman,Love Me Now (featuring Wyclef) (International Only),Love Me Now (Rockwilder Remix) (Feat. Wyclef And Redman),0
S. Solis y Orquesta,Instrumental Acordeón (28 Hits in Accordion),La Vida En Rosa,0
Dee Clark,Greatest Hits,Little Bitty Pretty One,0
Commissioned,Matters Of The Heart,You Can Always Come Home,0
Cauterize,So Far From Real,Shooting Stars,2003
THE CHIFFONS,60's Girl Groups,Doctor Of Hearts (Album Version),0
Hysterie,San Francisco Love House Volume 2,Imagination,2005
Alfredo Gutiérrez,Serie Tradicional - Mi Acordeón Bohemio  CD 1,El niño de la calle,0
Bobby Vee,Down The Line,What To Do Crying Waiting Hoping Learning The Game,0
Robben Ford,Blue Moon,Something For The Pain,2002
Joe Lynn Turner,Rescue You,Soul Searcher,0
Aesop Rock,Labor Days,Flashflood,2001
Anti-Flag,A New Kind of Army,This Is NOT a Crass Song,1999
Greater Vision,My Favorite Place,Everyone_ Everywhere_ Everytime,0
Rickie Lee Jones,Naked Songs Live And Acoustic,Skeletons (Live Acoustic Version),0
Gal Costa,Classic Latino,Canta Brasil,1981
Taboo,Italo Dance Collection_ Vol. 1,Sous la Tour Eiffel,0
Der Moderne Man,Drama_ Spiel und Blut (Das Archiv Teil 1),Heute,0
Hot Chip,Coming On Strong,Ass Attack (Four Tet Remix),2004
Kathy Mattea,Coal,Sally In the Garden,2008
Tora Tora,Before & After,Wasted Love,0
Jeff Beck,Performing this week... At Ronnie Scotts,A Day In The Life (Album Version),0
Franz Ferdinand,Eleanor Put Your Boots On,Eleanor Put Your Boots On,2005
Shelby Lynne,Suit Yourself,Old Times Sake,2005
James Taylor,James Taylor Live,Steamroller Blues,0
Dave Eggar,Angelic Embrace,Wave,2002
Kaija Koo,Lauluja rakkaudesta,Seuraavassa elämässä,1995
Edgar Bori,Fous les canards,J'l'ai pas dit,0
Fudge Tunnel,In A Word,Bed Crumbs,1991
The Nelons,Something Beautiful,Hallelujah,0
Jimmy Witherspoon,Urban Blues Singing Legend 1949-1951,I'm Just Wonderin' Part 2,0
Ulytau,Two Warriors,Winter (Four Seasons),0
Tanto Metro & Devonte,The Beat Goes On,Sometimes,0
Donnie Brooks,The Best of Donnie Brooks,What'd I Say,2001
Ray Kane,The Legendary Ray Kane : Old Slack Key,Wa'ahila (Instrumental - Bonus Track),0
Kelly Clarkson,My Life Would Suck Without You,My Life Would Suck Without You,2009
Eliane Elias,Fantasia,No More Blues (Chega de Saudade),1992
Ashes to Ashes,A Tribute To David Bowie Vol 1,Drive In Saturday - (Tribute to David Bowie),0
The Exies,Inertia,Creeper Kamikaze,2003
Babylon Disco,Natsukashii,Error,2007
Dinosaur Jr.,Whatever's Cool With Me,Whatever's Cool With Me (LP Version),1991
2raumwohnung,36 Grad Remixe,Ja (Hanno's Poppersmonstermix),2007
SOJA,Peace in a time of war,Time to come true,0
BigElf,Hex,Falling Bombs,2003
Zombie Girl,Back From The Dead,I Want It,2006
Stanley Clarke,The Bass-ic Collection,Journey To Love,1975
Der Moderne Man,Drama_ Spiel und Blut (Das Archiv Teil 1),Blaue Matrosen (live),0
La Portuaria,Devorador De Corazones,Alguna Vez,0
GG Allin,Suicide Sessions / Anti-Social Personality Disorder: Live,I Live to Be Hated,0
Spinal Tap,Break Like The Wind,The Majesty Of Rock,1992
3 Doors Down,Here Without You,It's Not Me,2003
Dino,Hits Of The 80's,Chariots Of Fire,0
Buzzcocks,French,Strange Thing,1980
Gus Viseur,Paris Jazz Cafe Vol.3,Fausse monnaie,2000
Ma Rainey,Ma Rainey,Ma Rainey's Black Bottom,1927
Hemdale,Rad Jackson,Rotting Fumes,0
Jesse Malin and The St. Marks Social,Love it to Life,Revelations,2007
Zimbabwe Legit,Instrumentals and Lost Tracks,Siyabonga (Unreleased Bonus Track),0
Niraj Chag,The Lost Souls Bonus EP,Sajana (Ft Faheem Mazhar),0
Jim Kweskin,Garden Of Joy,When I Was A Cowboy (Western Plains) (LP Version),0
Foxy Brown,Ill Na Na,If I...,0
Mastodon,Call of the Mastodon,Deep Sea Creature,2001
Christian McBride,Live At Tonic,D Shuffle Jam (Part 2),0
Ramón Vargas;Vladimir Jurowski,Massenet: Werther,Werther - Lyric Drama in four Acts/Act I/Alors_ c'est bien ici la maison du bailli?,0
String Trio Of New York,Intermobility,Ju Ju,0
João Gilberto,Joao Voz E Violato,Segredo,2000
Los Chichos,Adelante,No Quieras Marcharte,1984
Enthroned,Pentagrammaton,Ad Te Clamamus Exsvles Mortva Liberi,2010
Ultraviolence,Blown Away,I Destructor (Lenny Dee Mix),0
Bone Thugs-N-Harmony,BTNHRESURRECTION,Murder One,2000
Portable,Distance,Theresa,2003
Muse,Plug In Baby,Bedroom Acoustics,0
Daniel Johnston,Welcome to my World,Story Of An Artist (Don't Be Scared),0
Utopia,Utopia,On My Feet Again,0
Jo-El Sonnier,Cajun Blood,Cajun Blood,0
Murskahumppa,Poikamies (2009),Poikamies (2009),0
Bröderna Djup,Bröderna Djup - Vi bor på landet,Råskevärsrock,0
Wailing Souls,Sly & Robbie present Taxi,Old Broom,1981
Lili Ivanova,Tango,Pak shte te obicham,0
Hank Locklin,RCA Country Legends,Danny Boy,0
Furry Lewis,In His Prime 1927-1928,Good Looking Girl Blues,0
Naughty By Nature;Naughty By Nature featuring Zhane,Nineteen Naughty Nine Nature's Fury,Jamboree,0
Vanessa Bell Armstrong,Walking Miracle,Til The Victory's Won,0
Arthur Tracy,Street Singer,Dance_ Gypsy_ Dance,0
Seamus Egan,When Juniper Sleeps,Lullaby,0
C.C. Adcock,C.C. Adcock,Good Loving,0
Angelo Badalamenti,The Edge Of Love,Love Me,0
Radiohead,OK Computer (Collector's Edition),Subterranean Homesick Alien,1997
Dave Hollister,Things In The Game Done Changed,Tell Me Why,2006
Izzy,Ascolta,Going Home,0
DMX,It's Dark And Hell Is Hot,Damien,1998
The Nelons,Hallelujah Live,I've Won (Introduction - Speaking),0
Acorps de Rue,Dans un élan,Chanson Réaliste,0
John Williams,An American Journey,American Journey/IV. Arts and Sports,0
C-Side & Petit Mal,Swarm Warnings,Mudhump,0
Jewel,Serve The Ego,Serve The Ego (Hani Num Dub),0
Don Gibson,Country Greats,A Legend In My Time,1987
Les Blaireaux,En concert au Splendid,Le gardien de musée,2007
Las Ketchup,Un Blodymary,Doble Bombo,2006
Saosin,Saosin EP,Bury Your Head,2005
James Horner,Deep Impact - Music from the Motion Picture,The President's Speech,1998
G-Unit,Hot Joints 2,Poppin' Them Thangs,2003
Bury Your Dead,It's Nothing Personal,Closed Eyes,2009
Nick Cave & The Bad Seeds,Nocturama,Still In Love,2003
Pee Wee King,Black Diamond Express To Hell,Railroad Boogie,0
Kitaro,Heaven & Earth,Trong Com,1993
John Legend [feat. Buju Banton],Strictly The Best Vol. 40,Fall In Love [Rub A Dub Mix],0
Bersuit Vergarabat,Testosterona,Sencillamente,2005
Our Time Down Here,Live_ Love_ Let Go,Big Guys Throw Cones,0
DJ Ostkurve,Top of the Mountains Vol. 5,Sailing,0
Roy Rogers,A Cowboy's Songbook,Hi Ho Silver,0
Reni,Reni 2001,Slamka Spasa,0
Falco,Nachtflug,Monarchy Now,1992
Baby Grand,Future Chill,Melodica,0
Steve Riley & The Mamou Playboys,La Toussaint,Between Eunice & Opelousas,1995
Pardesi,Pump Up The Bhangra,Shuncata Penda,0
Leonard Kwan,Ke'ala's Mele,Kanaka 'o Mose,0
The Animals_ Sonny Boy Williamson,The Animals with Sonny Boy Williamson,Bo Diddley,1973
T-Bone Walker,Bobby Sox Blues - EP,Teenage Baby (Digitally Remastered),0
Warren Barfield,Reach,Shadow,2006
Bob Wills,Bob Wills and His Texas Playboys 1932-1947,Sittin' On Top of the Wolrd,0
Orquesta Broadway,Tiqui_ Tiqui,La Sitiera,0
Floor,Its Not The Same,Ignis,2009
New Roanoke Jug Band,Play It For A Long Time,When Those Two Towers Fell,0
Dilated Peoples,Neighborhood Watch,Big Business,2004
MN,Speed 002,The Truth,0
Charles Williams,Close Up,Close Up,0
Fever Ray,Live In Lulea,I'm Not Done,2009
David Martin,Something in Your Eyes,It Must Be,0
Jerry Reed,Les 100 Plus Grands Titres Country,When You're Hot_ You're Hot,0
Alex Theory,Gathering The Tribe,Lotus Kiss,0
Michael Card,Joy in the Journey,So Many Books ... (The Word Album Version),0
Megadrums,Transformation,Drummer's Circle,0
Marcel Mouloudji,36 Grands Succès,Qui Donc A Changé ?,0
Tim Exile,Tim Exile's Nuisance Gabbaret Lounge,Post-Toxic Finger Disorder,2006
Justin,Justin In Love With HK Philharmonic Concert Live,Kong,0
Walter Jackson,Welcome Home / The Okeh Years,What Would You Do,2006
Bizzy Bone Presents,Double R,Intro,2004
Sister Rosetta Tharpe,Complete / Intégrale Vol. 5 (1953-1957),Two Little Fishes_ Five Loaves Of Bread,0
Johnny Cash,The Legend,I Got Stripes (Live),2006
George Lopez,El Mas Chingon,Church Hangover,2006
Hatesex,Unwant,The Greed Of Our Stare,0
Kris Kristofferson,Original Album Classics,Same Old Song,1974
Rui Da Silva,Praying Mantis,The Contracting Perception Of Consciousness,0
Autumnblaze,DämmerElbenTragödie,Her Golden Robe In Silence Veiled,1999
Cinder,House Full Of No Trust,The Ride (Album),2006
Speedball,Maximum Speed,No Survivors,1998
Goatwhore,A Haunting Curse,Forever Consumed Oblivion,2006
Jaime Urrutia,En Joy,La sangre de tu tristeza (con Dani Martin_ directo Enjoy 07),0
Kiprich,Chiney Flava Riddim,Dem a Talk,0
Séamus Egan,In Your Ear,McDermott's / Boys of Blue Hill,0
Maurane / Lara Fabian,Quand L'Humain Danse,Mais La Vie,2003
Gary Moore,Rockin' Every Night (Gary Moore Live In Japan),Rockin' Every Night (Live),2005
Pepe Kalle,Larger Than Life,Roger Milla (Stadium Mix),0
Rita Chiarelli,No-One to Blame,Doggin' Around,2004
Christina Aguilera,Christina Aguilera/Stripped,Walk Away,2002
David Tao,David Tao,Everything's Gone,0
The Clark Sisters,Conqueror,I Won't Let You Go Till You Bless My Soul (Album Version),0
We Show Up On Radar,Growing A Girl EP,Red Balloon,0
Basic Channel,Phylyps Trak II,Phylyps Trak II/II,1994
Terry Riley,Atlantis Nath,Acension Final Chord Rising,2002
Hank Locklin,A Year Of Time,Rio Grande Waltz,0
Eddie Cano,Eddie Cano at PJ's,The Trolley Song (Live Album Version),0
Tanto Metro & Devonte,Riddim Driven - Adrenaline,Honey I Sugar Pie,2003
Whitesnake,Saints And Sinners,Young Blood (2007 Digital Remaster),0
Tammy Wynette,Country 100,Stand By Your Man,1968
Gabinete Caligari,4 Rosas Y Que Dios Reparta Suerte,El Arte De Amar,1989
Chet Atkins,The Early Years_ CD C: 1952-1954,Get Up & Go,0
SUMO,Sí o Sí - Diario del Rock Argentino - Sumo,Pinini Reggae,1989
Superchumbo,Irresistible!,Irresistible! (Maurel & Fauvrelle LESS Mix),0
Yahir,Con el alma entre las manos,No seamos tontos,0
Jerry Goldsmith,Rambo - First Blood,First Blood,1985
Charley Patton,Essential Delta Blues,Moon Going Down,1930
Mario Rosenstock,Gift 2,De Tree Little Pigs,0
The Race,Raising Children/Go Figure,Raising Children,2006
Red Hot Chili Peppers,Californication,Get On Top (Album Version),1999
Gordon MacRae,Stars Of The Summer Night,Do You Ever Think Of Me,0
Luiz Bonfa,Solo in Rio 1959,A Brazilian in New York,0
Der Plan,Die Letzte Rache (+Bonus),De Kommissar 1,0
Dylan Kuo,Not Anymore,Ji Xiang Yan Chu,0
The Winans,Carry me Home - The Power Of Gospel,Everything You Touch Is a Song,0
Martin Sexton,Live Wide Open,Ice Cream Man,2001
Mack and Jamie,Extreme Channel Surfing,Slimy Little Troll,0
